"","groupid","elapsedtime","sex","age","health","nationality","countryofbirth","educationlevel","studentstatus","totalwords","countCorrect_neutral","countCorrect_low","countCorrect_high","countCorrect_negative","countCorrect_sum","propCorrect_neutral","propCorrect_low","propCorrect_high","propCorrect_negative","countCritical_neutral","countCritical_low","countCritical_high","countCritical_negative","countCritical_sum","propCritical_neutral","propCritical_low","propCritical_high","propCritical_negative","countIntrusion_sum","RCG_countCorrect_neutral","RCG_countCorrect_low","RCG_countCorrect_high","RCG_countCorrect_negative","RCG_countCorrect_sum","RCG_propCorrect_neutral","RCG_propCorrect_low","RCG_propCorrect_high","RCG_propCorrect_negative","RCG_propCorrect_total","RCG_countCritical_neutral","RCG_countCritical_low","RCG_countCritical_high","RCG_countCritical_negative","RCG_countCritical_sum","RCG_propCritical_neutral","RCG_propCritical_low","RCG_propCritical_high","RCG_propCritical_negative","RCG_propCritical_total","RCG_countIntrusion_neutralword","RCG_countIntrusion_lowword","RCG_countIntrusion_highword","RCG_countIntrusion_negativeword","RCG_countIntrusion_sumword","RCG_propIntrusion_neutralword","RCG_propIntrusion_lowword","RCG_propIntrusion_highword","RCG_propIntrusion_negativeword","RCG_propIntrusion_totalword","RCG_countIntrusion_neutrallure","RCG_countIntrusion_lowlure","RCG_countIntrusion_highlure","RCG_countIntrusion_negativelure","RCG_countIntrusion_sumlure","RCG_propIntrusion_neutrallure","RCG_propIntrusion_lowlure","RCG_propIntrusion_highlure","RCG_propIntrusion_negativelure","RCG_propIntrusion_totallure","RCG_countIntrusion_neutral","RCG_countIntrusion_low","RCG_countIntrusion_high","RCG_countIntrusion_negative","RCG_countIntrusion_sum","RCG_propIntrusion_neutral","RCG_propIntrusion_low","RCG_propIntrusion_high","RCG_propIntrusion_negative","RCG_propIntrusion_total","nr_MathProblems","propCorrect_Math","attentioncheck","oldresponse","CEQtotal","DEStotal","differencescorepc","propCorrectoverall","propRCGCorrectoverall","differencescoreh1","differencescoreh1b","differencescoreh1c","differencescoreh2","differencescoreh2b","differencescoreh2c","HRCorrNeu","Z_HRCorrNeu","HRCorrNeg","Z_HRCorrNeg","FAIntNeu","Z_FAIntNeu","FAIntNeg","Z_FAIntNeg","FACritNeu","Z_FACritNeu","FACritNeg","Z_FACritNeg","d_critical_neutral","d_critical_negative","d_unrelated_neutral","d_unrelated_negative","differencescoreh5","differencescoreh5b","c_critical_neutral","c_critical_negative","differencescoreh4","c_unrelated_neutral","c_unrelated_negative","differencescoreh4b","differencescoreh6","differencescoreh7"
"1",2,1297717,"Male",36,0,"United Kingdom","United Kingdom","Doctorate","No",10,9,1,0,1,10,0.1875,0.0416666666666667,0,0.0208333333333333,0,0,0,0,0,0,0,0,0,0,10,3,4,7,17,0.833333333333333,0.5,0.666666666666667,0.583333333333333,0.708333333333333,3,1,2,3,6,0.75,0.5,1,0.75,0.75,0,1,2,3,3,0,0.166666666666667,0.333333333333333,0.25,0.125,0,1,1,2,2,0,0.5,0.5,0.5,0.25,0,2,3,5,5,0,0.25,0.375,0.3125,0.15625,93,0.967741935483871,1,0.4375,1,2.85714285714286,0.75,0.104166666666667,0.71875,0,0,-0.166666666666667,0,-0.25,-0.25,0.807692307692308,0.869423773288886,0.576923076923077,0.194028142423926,0.0294117647058824,-1.88950996033343,0.323529411764706,-0.457851931012495,0.7,0.524400512708041,0.7,0.524400512708041,0.345023260580845,-0.330372370284114,2.75893373362232,0.651880073436421,-0.67539563086496,-2.10705366018589,-0.696912142998463,-0.359214327565983,0.33769781543248,0.510043093522272,0.131911894294284,-0.378131199227988,0,0.5
"2",1,1413863,"Male",44,1,"United Kingdom","United Kingdom","High School Degree or equivalent","No",12,1,1,1,2,3,0.0208333333333333,0.0416666666666667,0.0416666666666667,0.0416666666666667,1,0,0,0,1,0.25,0,0,0,8,6,4,4,8,14,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.583333333333333,2,1,2,3,5,0.5,0.5,1,0.75,0.625,4,2,3,5,9,0.333333333333333,0.333333333333333,0.5,0.416666666666667,0.375,1,1,2,3,4,0.25,0.5,1,0.75,0.5,5,3,5,8,13,0.3125,0.375,0.625,0.5,0.40625,60,0.966666666666667,1,0.5,18,76.7857142857143,0.1875,0.03125,0.5625,-0.25,-0.25,0.0208333333333333,0.25,0,0.166666666666667,0.5,0,0.653846153846154,0.395725295814487,0.323529411764706,-0.457851931012495,0.5,0,0.5,0,0.7,0.524400512708041,0,-0.128675216893553,0.457851931012495,0.395725295814487,-0.128675216893553,-0.0621266351980077,0,-0.460062904261264,-0.460062904261264,0.228925965506247,-0.197862647907244,-0.426788613413491,0,0.5
"3",2,1451665,"Female",36,1,"Ireland","Ireland","Bachelor's Degree","No",16,8,0,6,6,14,0.166666666666667,0,0.25,0.125,0,0,1,1,1,0,0,0.5,0.25,1,8,4,6,10,18,0.666666666666667,0.666666666666667,1,0.833333333333333,0.75,3,2,1,3,6,0.75,1,0.5,0.75,0.75,5,3,1,4,9,0.416666666666667,0.5,0.166666666666667,0.333333333333333,0.375,4,0,1,1,5,1,0,0.5,0.25,0.625,9,3,2,5,14,0.5625,0.375,0.25,0.3125,0.4375,36,0.916666666666667,1,0.59375,13,15.3571428571429,0.1875,0.145833333333333,0.59375,0.25,0,-0.0416666666666667,0,0.25,0.166666666666666,0.653846153846154,0.395725295814487,0.807692307692308,0.869423773288886,0.558823529411765,0.147987109725839,0.323529411764706,-0.457851931012495,0.7,0.524400512708041,0.7,0.524400512708041,-0.128675216893553,0.345023260580845,0.247738186088648,1.32727570430138,0.473698477474399,1.07953751821273,-0.460062904261264,-0.696912142998463,-0.236849238737199,-0.271856202770163,-0.205785921138196,0.0660702816319676,0.5,-0.5
"4",2,1214695,"Female",33,0,"United Kingdom","United Kingdom","Bachelor's Degree","No",53,25,15,9,24,49,0.520833333333333,0.625,0.375,0.5,0,1,1,2,2,0,0.5,0.5,0.5,2,9,4,6,10,19,0.75,0.666666666666667,1,0.833333333333333,0.791666666666667,2,1,2,3,5,0.5,0.5,1,0.75,0.625,0,1,1,2,2,0,0.166666666666667,0.166666666666667,0.166666666666667,0.0833333333333333,0,0,1,1,1,0,0,0.5,0.25,0.125,0,1,2,3,3,0,0.125,0.25,0.1875,0.09375,128,0.9765625,1,0.421875,2,2.5,0.5,0.510416666666667,0.796875,0.5,0.5,-0.0208333333333334,0.25,0,0.083333333333333,0.730769230769231,0.615141104595973,0.807692307692308,0.869423773288886,0.0294117647058824,-1.88950996033343,0.205882352941176,-0.82079208833238,0.5,0,0.7,0.524400512708041,0.615141104595973,0.345023260580845,2.5046510649294,1.69021586162127,-0.270117844015128,-0.814435203308137,-0.307570552297987,-0.696912142998463,-0.389341590700477,0.637184427868728,-0.0243158424782528,-0.661500270346981,0,0.5
"6",1,1867069,"Female",22,0,"South Africa","South Africa","High School Degree or equivalent","Yes",19,8,8,3,11,19,0.166666666666667,0.333333333333333,0.125,0.229166666666667,0,0,0,0,0,0,0,0,0,0,8,5,3,8,16,0.666666666666667,0.833333333333333,0.5,0.666666666666667,0.666666666666667,2,1,1,2,4,0.5,0.5,0.5,0.5,0.5,0,1,1,2,2,0,0.166666666666667,0.166666666666667,0.166666666666667,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0.125,0.125,0.125,0.0625,47,0.978723404255319,1,0.34375,8,53.2142857142857,0.5,0.197916666666667,0.78125,0,0,0.0625,0,0,0,0.653846153846154,0.395725295814487,0.653846153846154,0.395725295814487,0.0294117647058824,-1.88950996033343,0.147058823529412,-1.04913139796397,0.5,0,0.5,0,0.395725295814487,0.395725295814487,2.28523525614792,1.44485669377846,0,-0.840378562369459,-0.197862647907244,-0.197862647907244,0,0.746892332259471,0.326703051074742,-0.42018928118473,0,0
"7",2,1361429,"Male",33,0,"United Kingdom","United Kingdom","Bachelor's Degree","No",34,7,12,13,25,32,0.145833333333333,0.5,0.541666666666667,0.520833333333333,0,0,1,1,1,0,0,0.5,0.25,1,6,4,6,10,16,0.5,0.666666666666667,1,0.833333333333333,0.666666666666667,3,0,2,2,5,0.75,0,1,0.5,0.625,0,2,2,4,4,0,0.333333333333333,0.333333333333333,0.333333333333333,0.166666666666667,0,1,1,2,2,0,0.5,0.5,0.5,0.25,0,3,3,6,6,0,0.375,0.375,0.375,0.1875,111,0.90990990990991,1,0.421875,1,6.07142857142857,0.75,0.333333333333333,0.703125,0.25,0,0.375,-0.25,-0.75,0.333333333333333,0.5,0,0.807692307692308,0.869423773288886,0.0294117647058824,-1.88950996033343,0.382352941176471,-0.299306910465667,0.7,0.524400512708041,0.5,0,-0.524400512708041,0.869423773288886,1.88950996033343,1.16873068375455,1.39382428599693,-0.720779276578877,-0.26220025635402,-0.434711886644443,-0.172511630290423,0.944754980166715,-0.285058431411609,-1.22981341157832,0.5,1
"8",2,1711267,"Male",23,0,"South Africa","South Africa","High School Degree or equivalent","Yes",25,15,5,2,7,22,0.3125,0.208333333333333,0.0833333333333333,0.145833333333333,0,1,0,1,1,0,0.5,0,0.25,2,7,4,1,5,12,0.583333333333333,0.666666666666667,0.166666666666667,0.416666666666667,0.5,3,2,0,2,5,0.75,1,0,0.5,0.625,3,1,0,1,4,0.25,0.166666666666667,0,0.0833333333333333,0.166666666666667,0,0,0,0,0,0,0,0,0,0,3,1,0,1,4,0.1875,0.125,0,0.0625,0.125,43,0.976744186046512,1,0.328125,15,65,0.5625,0.229166666666667,0.671875,0.25,0.5,-0.166666666666667,-0.25,0.25,-0.166666666666666,0.576923076923077,0.194028142423926,0.423076923076923,-0.194028142423926,0.205882352941176,-0.82079208833238,0.0882352941176471,-1.35170223993066,0.7,0.524400512708041,0.5,0,-0.330372370284114,-0.194028142423926,1.01482023075631,1.15767409750674,0.136344227860188,0.142853866750428,-0.359214327565983,0.0970140712119631,0.456228398777947,0.313381972954227,0.772865191177294,0.459483218223067,-0.5,-1
"9",2,2434732,"Male",26,0,"South Africa","South Africa","Master's Degree","No",14,6,0,2,2,8,0.125,0,0.0833333333333333,0.0416666666666667,0,0,0,0,0,0,0,0,0,6,7,0,3,3,10,0.583333333333333,0,0.5,0.25,0.416666666666667,3,1,1,2,5,0.75,0.5,0.5,0.5,0.625,6,3,2,5,11,0.5,0.5,0.333333333333333,0.416666666666667,0.458333333333333,2,1,0,1,3,0.5,0.5,0,0.25,0.375,8,4,2,6,14,0.5,0.5,0.25,0.375,0.4375,67,0.955223880597015,1,0.453125,9,13.9285714285714,0.25,0.0833333333333333,0.484375,0,0,-0.0833333333333333,-0.25,-0.25,-0.333333333333333,0.576923076923077,0.194028142423926,0.269230769230769,-0.615141104595974,0.5,0,0.382352941176471,-0.299306910465667,0.7,0.524400512708041,0.5,0,-0.330372370284114,-0.615141104595974,0.194028142423926,-0.315834194130307,-0.284768734311859,-0.509862336554233,-0.359214327565983,0.307570552297987,0.66678487986397,-0.0970140712119631,0.45722400753082,0.554238078742783,0,0
"10",2,2091744,"Female",45,1,"South Africa","South Africa","Bachelor's Degree","No",24,10,4,4,8,18,0.208333333333333,0.166666666666667,0.166666666666667,0.166666666666667,1,0,1,1,2,0.25,0,0.5,0.25,4,11,6,5,11,22,0.916666666666667,1,0.833333333333333,0.916666666666667,0.916666666666667,4,2,2,4,8,1,1,1,1,1,8,4,4,8,16,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,3,1,2,3,6,0.75,0.5,1,0.75,0.75,11,5,6,11,22,0.6875,0.625,0.75,0.6875,0.6875,33,0.96969696969697,1,0.8125,15,71.7857142857143,0.3125,0.1875,0.5,0,-0.25,-0.0416666666666667,0,0,0,0.884615384615385,1.19837970230692,0.884615384615385,1.19837970230692,0.676470588235294,0.457851931012495,0.676470588235294,0.457851931012495,0.9,1.2815515655446,0.9,1.2815515655446,-0.0831718632376763,-0.0831718632376763,0.740527771294429,0.740527771294429,0,0,-1.23996563392576,-1.23996563392576,0,-0.82811581665971,-0.82811581665971,0,0.5,0
"11",1,1836257,"Male",38,0,"United Kingdom","United Kingdom","High School Degree or equivalent","No",17,6,3,5,8,14,0.125,0.125,0.208333333333333,0.166666666666667,0,1,0,1,1,0,0.5,0,0.25,2,9,4,5,9,18,0.75,0.666666666666667,0.833333333333333,0.75,0.75,2,1,2,3,5,0.5,0.5,1,0.75,0.625,0,1,4,5,5,0,0.166666666666667,0.666666666666667,0.416666666666667,0.208333333333333,0,1,1,2,2,0,0.5,0.5,0.5,0.25,0,2,5,7,7,0,0.25,0.625,0.4375,0.21875,29,0.862068965517241,1,0.46875,7,8.21428571428571,0.5,0.145833333333333,0.71875,0.25,0.5,0.0416666666666667,0.25,0,0,0.730769230769231,0.615141104595973,0.730769230769231,0.615141104595973,0.0294117647058824,-1.88950996033343,0.441176470588235,-0.147987109725839,0.5,0,0.7,0.524400512708041,0.615141104595973,0.0907405918879327,2.5046510649294,0.763128214321812,-0.524400512708041,-1.74152285060759,-0.307570552297987,-0.569770808652007,-0.26220025635402,0.637184427868728,-0.233576997435067,-0.870761425303796,-0.5,0.5
